0;0;0;0;0;0;0;0.38;0.052;2.276;0.616;1.076;0.272;0.156
0;0;0;0;0;0;0;0.268;0.04;1.188;2.072;0.656;0.304;0.152
0;0;0;0;0;0;0;0.364;0.084;0.28;2.172;0.748;0.396;0.152
0;0;0;0;0;0;0;0.276;0.052;0.24;0.896;0.7;0.372;0.156
0;0;0;0;0;0;0;0.336;0.044;0.316;0.692;0.948;0.596;0.24
0;0;0;0;0;0;0;0.312;0.08;0.296;0.68;1.444;0.74;0.5
0;0;0;0;0;0;0;0.292;0.048;0.284;0.692;0.88;0.776;0.364
0;0;0;0;0;0;0;0.348;0.052;0.296;0.4;0.256;0.78;0.296
0;0;0;0;0;0;0;0.768;0.072;0.232;0.4;0.26;0.744;0.296
0;0;0;0;0;0;0;0.204;0.052;0.24;0.364;0.276;0.756;0.296
0;0;0;0;0;0;0;0.152;0.052;0.22;0.196;0.192;0.74;0.292
0;0;0;0;0;0;0;0.112;0.064;0.124;0.172;0.256;0.74;0.284
0;0;0;0;0;0;0;0.16;0.06;0.112;0.144;0.164;0.752;0.16
0;0;0;0;0;0;0;0.092;0.052;0.136;0.12;0.38;0.844;0.164
0;0;0;0;0;0;0;0.112;0.064;0.164;0.16;0.12;0.26;0.168
0;0;0;0;0;0;0;0.5;0.068;0.164;0.14;0.256;0.148;0.228
0;0;0;0;0;0;0;0.056;0.052;0.164;0.192;0.124;0.196;0.268
0;0;0;0;0;0;0;0.1;0.06;0.168;0.224;0.208;0.176;0.212
0;0;0;0;0;0;0;0.104;0.068;0.168;0.236;0.196;0.176;0.164
0;0;0;0;0;0;0;0.044;0.052;0.164;0.196;0.184;0.184;0.16
0;0;0;0;0;0;0;0.116;0.068;0.172;0.212;0.34;0.188;0.16
0;0;0;0;0;0;0;0.088;0.064;0.168;0.228;0.156;0.196;0.16
0;0;0;0;0;0;0;0.06;0.052;0.172;0.112;0.3;0.256;0.164
0;0;0;0;0;0;0;0.116;0.068;0.16;0.128;0.064;0.188;0.176
0;0;0;0;0;0;0;0.068;0.064;0.164;0.172;0.26;0.156;0.168
0;0;0;0;0;0;0;0.08;0.052;0.152;0.124;0.128;0.312;0.156
0;0;0;0;0;0;0;0.116;0.072;0.116;0.12;0.2;0.236;0.188
0;0;0;0;0;0;0;0.052;0.056;0.116;0.176;0.304;0.192;0.256
0;0;0;0;0;0;0;0.092;0.056;0.116;0.188;0.192;0.188;0.244
0;0;0;0;0;0;0;0.108;0.072;0.116;0.2;0.336;0.192;0.156
0;0;0;0;0;0;0;0.04;0.056;0.112;0.244;0.064;0.164;0.152
0;0;0;0;0;0;0;0.112;0.052;0.12;0.204;0.248;0.144;0.152
0.012;0.004;0.001;0.012;0.004;0.001;0.012;0.092;0.068;0.12;0.188;0.152;0.128;1.468
0.084;0.13;0.012;0.084;0.13;0.012;0.084;0.204;0.056;0.192;0.172;0.136;0.128;0.84
0.567;0.473;0.028;0.567;0.473;0.028;0.567;0.064;0.052;0.272;0.152;0.26;0.1;0.384
0.942;0.732;0.043;0.942;0.732;0.043;0.942;0.108;0.064;0.328;0.188;0.144;0.292;0.376
1.121;1.003;0.055;1.121;1.003;0.055;1.121;0.068;0.06;0.288;0.684;0.36;0.676;0.236
1.081;1.182;0.071;1.081;1.182;0.071;1.081;0.068;0.052;0.188;0.288;0.172;0.692;0.164
1.787;1.346;0.086;1.787;1.346;0.086;1.787;0.108;0.06;0.124;0.272;0.156;0.696;0.284
2.01;1.488;0.108;2.01;1.488;0.108;2.01;0.176;0.064;0.132;0.46;0.468;0.788;0.3
2.193;1.603;0.136;2.193;1.603;0.136;2.193;0.076;0.052;0.16;0.476;0.38;1.932;0.252
2.361;1.695;0.146;2.361;1.695;0.146;2.361;0.104;0.048;0.164;0.456;0.712;2.932;0.204
