datetime,solar,grid,load
2018-01-01 07:00:00,-0.002,1.447,1.445
2018-01-01 07:15:00,-0.002,1.633,1.631
2018-01-01 07:30:00,-0.002,1.41,1.408
2018-01-01 07:45:00,-0.003,1.696,1.693
2018-01-01 08:00:00,-0.006,1.095,1.089
2018-01-01 08:15:00,-0.006,1.251,1.245
2018-01-01 08:30:00,-0.006,1.18,1.174
2018-01-01 08:45:00,-0.006,0.914,0.908
2018-01-01 09:00:00,-0.005,1.381,1.376
2018-01-01 09:15:00,-0.004,0.754,0.75
2018-01-01 09:30:00,-0.004,1.025,1.021
2018-01-01 09:45:00,-0.005,0.71,0.705
2018-01-01 10:00:00,-0.005,0.812,0.807
2018-01-01 10:15:00,-0.005,0.737,0.732
2018-01-01 10:30:00,-0.005,0.634,0.629
2018-01-01 10:45:00,-0.005,0.902,0.897
2018-01-01 11:00:00,-0.005,0.498,0.493
2018-01-01 11:15:00,-0.005,0.974,0.969
2018-01-01 11:30:00,-0.004,0.893,0.889
2018-01-01 11:45:00,-0.004,0.688,0.6839999999999999
2018-01-01 12:00:00,-0.004,1.019,1.015
2018-01-01 12:15:00,-0.005,0.476,0.471
2018-01-01 12:30:00,-0.005,0.838,0.833
2018-01-01 12:45:00,-0.005,0.802,0.797
2018-01-01 13:00:00,-0.005,0.609,0.604
2018-01-01 13:15:00,-0.005,0.916,0.911
2018-01-01 13:30:00,-0.004,0.743,0.739
2018-01-01 13:45:00,0.005,0.981,0.986
2018-01-01 14:00:00,0.094,1.13,1.224
2018-01-01 14:15:00,0.169,1.047,1.216
2018-01-01 14:30:00,0.504,0.313,0.817
2018-01-01 14:45:00,0.728,-0.158,0.57
2018-01-01 15:00:00,1.661,-0.875,0.786
2018-01-01 15:15:00,1.19,-0.556,0.6339999999999999
2018-01-01 15:30:00,1.839,-0.858,0.981
2018-01-01 15:45:00,1.632,-0.467,1.1649999999999998
2018-01-01 16:00:00,1.359,-0.242,1.117
2018-01-01 16:15:00,1.523,0.27,1.793
2018-01-01 16:30:00,1.672,-0.175,1.497
2018-01-01 16:45:00,2.12,-0.682,1.4380000000000002
2018-01-01 17:00:00,2.344,-1.07,1.2739999999999998
2018-01-01 17:15:00,2.051,-0.569,1.4820000000000002
2018-01-01 17:30:00,2.212,-1.047,1.1650000000000005
2018-01-01 17:45:00,1.956,-0.578,1.378
2018-01-01 18:00:00,1.934,-0.692,1.242
2018-01-01 18:15:00,1.958,-0.844,1.114
2018-01-01 18:30:00,1.838,-0.179,1.659
2018-01-01 18:45:00,1.47,0.339,1.809
2018-01-01 19:00:00,1.184,0.522,1.706
2018-01-01 19:15:00,1.25,0.317,1.567
2018-01-01 19:30:00,1.233,0.899,2.132
2018-01-01 19:45:00,1.165,0.457,1.622
2018-01-01 20:00:00,1.201,0.608,1.809
2018-01-01 20:15:00,1.038,0.592,1.63
2018-01-01 20:30:00,0.911,0.692,1.603
2018-01-01 20:45:00,1.126,1.176,2.302
2018-01-01 21:00:00,0.812,3.076,3.888
2018-01-01 21:15:00,0.497,5.184,5.681
2018-01-01 21:30:00,0.582,3.277,3.859
2018-01-01 21:45:00,0.496,4.135,4.631
2018-01-01 22:00:00,0.518,3.098,3.616
2018-01-01 22:15:00,0.444,1.537,1.981
2018-01-01 22:30:00,0.597,1.31,1.907
2018-01-01 22:45:00,0.154,5.985,6.139
2018-01-01 23:00:00,0.035,3.412,3.447
2018-01-01 23:15:00,0.0,1.549,1.549
2018-01-01 23:30:00,0.001,1.729,1.73
2018-01-01 23:45:00,0.002,2.056,2.058
2018-01-02 00:00:00,0.005,3.192,3.197
2018-01-02 00:15:00,0.0,1.6,1.6
2018-01-02 00:30:00,-0.001,1.52,1.519
2018-01-02 00:45:00,0.001,1.899,1.9
2018-01-02 01:00:00,0.0,1.378,1.378
2018-01-02 01:15:00,0.002,1.832,1.834
2018-01-02 01:30:00,0.014,5.859,5.873
2018-01-02 01:45:00,0.013,5.173,5.186
2018-01-02 02:00:00,0.002,2.033,2.035
2018-01-02 02:15:00,0.001,1.611,1.612
2018-01-02 02:30:00,0.0,1.932,1.932
2018-01-02 02:45:00,0.0,1.625,1.625
2018-01-02 03:00:00,0.0,1.747,1.747
2018-01-02 03:15:00,0.0,1.418,1.418
2018-01-02 03:30:00,-0.001,1.69,1.689
2018-01-02 03:45:00,-0.001,1.752,1.751
2018-01-02 04:00:00,-0.001,1.391,1.39
2018-01-02 04:15:00,-0.001,1.541,1.54
2018-01-02 04:30:00,-0.002,1.471,1.469
2018-01-02 04:45:00,-0.002,1.456,1.454
2018-01-02 05:00:00,-0.002,1.264,1.262
2018-01-02 05:15:00,-0.004,1.025,1.021
2018-01-02 05:30:00,-0.003,0.654,0.651
2018-01-02 05:45:00,-0.003,0.873,0.87
2018-01-02 06:00:00,-0.004,1.12,1.116
2018-01-02 06:15:00,-0.002,0.897,0.895
2018-01-02 06:30:00,-0.002,0.892,0.89
2018-01-02 06:45:00,-0.002,1.059,1.057
2018-01-02 07:00:00,-0.002,0.94,0.938
2018-01-02 07:15:00,-0.005,0.64,0.635
2018-01-02 07:30:00,-0.005,0.708,0.703
2018-01-02 07:45:00,-0.005,0.803,0.798
2018-01-02 08:00:00,-0.005,0.413,0.408
2018-01-02 08:15:00,-0.005,0.817,0.8119999999999999
2018-01-02 08:30:00,-0.005,0.434,0.429
2018-01-02 08:45:00,-0.004,0.95,0.946
2018-01-02 09:00:00,-0.004,0.578,0.574
2018-01-02 09:15:00,-0.004,0.942,0.938
2018-01-02 09:30:00,-0.005,0.457,0.452
2018-01-02 09:45:00,-0.005,0.802,0.797
2018-01-02 10:00:00,-0.005,0.584,0.579
2018-01-02 10:15:00,-0.005,0.736,0.731
2018-01-02 10:30:00,-0.005,0.521,0.516
2018-01-02 10:45:00,-0.005,0.84,0.835
2018-01-02 11:00:00,-0.004,0.596,0.592
2018-01-02 11:15:00,-0.004,1.005,1.001
2018-01-02 11:30:00,-0.004,0.593,0.589
2018-01-02 11:45:00,-0.004,0.808,0.804
2018-01-02 12:00:00,-0.005,0.466,0.461
