timestamp,InstantPower,InstantProdPower,ElectricPower,PhaseVoltage,LineCurrent,WithdrawnActiveEnergyReading,FeedInActiveEnergyReading,ProducedActiveEnergyReading
2025-12-12T09:33:24Z,-979.0,,,,,,,
2025-12-12T09:33:26Z,,2844.0,,,,,,
2025-12-12T09:32:26Z,,,1.0,228.0,0.0,,,
2025-12-12T09:33:24Z,,,0.0,226.0,0.0,,,
2025-12-12T09:33:25Z,-1317.0,,,,,,,
2025-12-12T09:33:27Z,,3024.0,,,,,,
2025-12-12T09:33:28Z,,2980.0,,,,,,
2025-12-12T09:33:29Z,,3000.0,,,,,,
2025-12-12T09:08:50Z,,,0.0,221.0,0.0,,,
2025-12-12T09:33:33Z,,,57.0,222.0,0.5227,,,
2025-12-12T09:33:49Z,-1091.0,,,,,,,
2025-12-12T09:33:50Z,-1349.0,,,,,,,
2025-12-12T09:08:50Z,,,0.0,221.0,0.0,,,
2025-12-12T09:33:53Z,,,58.0,218.0,0.503,,,
2025-12-12T09:33:59Z,,2998.0,,,,,,
2025-12-12T09:08:50Z,,,0.0,221.0,0.0,,,
2025-12-12T09:33:58Z,,,53.0,220.0,0.4685,,,
2025-12-12T09:34:04Z,-1177.0,,,,,,,
2025-12-12T09:33:49Z,-524.0,,,,,,,
2025-12-12T09:34:08Z,,2668.0,,,,,,
2025-12-12T09:34:06Z,,,0.0,233.0,0.0,,,
2025-12-12T09:32:13Z,,,0.0,234.0,0.0,,,
2025-12-12T09:34:08Z,-843.0,,,,,,,
2025-12-12T09:33:52Z,-606.0,,,,,,,
2025-12-12T09:34:10Z,,2375.0,,,,,,
2025-12-12T09:34:10Z,-558.0,,,,,,,
2025-12-12T09:34:06Z,,,0.0,233.0,0.0,,,
2025-12-12T09:32:13Z,,,0.0,234.0,0.0,,,
2025-12-12T09:33:56Z,-544.0,,,,,,,
2025-12-12T09:08:50Z,,,0.0,221.0,0.0,,,
2025-12-12T09:34:13Z,,,51.0,220.0,0.4804,,,
2025-12-12T09:34:17Z,72.0,,,,,,,
2025-12-12T09:34:14Z,-298.0,,,,,,,
2025-12-12T09:34:06Z,,,0.0,233.0,0.0,,,
2025-12-12T09:32:13Z,,,0.0,234.0,0.0,,,
2025-12-12T09:34:17Z,,2442.0,,,,,,
2025-12-12T09:34:15Z,-644.0,,,,,,,
2025-12-12T09:32:26Z,,,1.0,228.0,0.0,,,
2025-12-12T09:33:24Z,,,0.0,226.0,0.0,,,
2025-12-12T09:34:17Z,-952.0,,,,,,,
2025-12-12T09:34:20Z,,2778.0,,,,,,
2025-12-12T09:08:50Z,,,0.0,221.0,0.0,,,
2025-12-12T09:34:23Z,,,50.0,222.0,0.4396,,,
2025-12-12T09:34:08Z,-639.0,,,,,,,
2025-12-12T09:34:25Z,-1287.0,,,,,,,
2025-12-12T09:34:06Z,,,0.0,233.0,0.0,,,
2025-12-12T09:32:13Z,,,0.0,234.0,0.0,,,
2025-12-12T09:08:50Z,,,0.0,221.0,0.0,,,
2025-12-12T09:34:27Z,,,49.0,222.0,0.4556,,,
2025-12-12T09:34:33Z,,3006.0,,,,,,
2025-12-12T09:34:37Z,,575.0,,,,,,
2025-12-12T09:08:50Z,,,0.0,221.0,0.0,,,
2025-12-12T09:34:32Z,,,54.0,223.0,0.5561,,,
2025-12-12T09:34:30Z,,,1.0,228.0,0.0,,,
2025-12-12T09:33:24Z,,,0.0,226.0,0.0,,,
2025-12-12T09:34:39Z,-1074.0,,,,,,,
2025-12-12T09:34:40Z,-1327.0,,,,,,,
2025-12-12T09:34:45Z,,666.0,,,,,,
2025-12-12T09:08:50Z,,,0.0,221.0,0.0,,,
2025-12-12T09:34:42Z,,,53.0,223.0,0.4806,,,
2025-12-12T09:34:30Z,,,1.0,228.0,0.0,,,
2025-12-12T09:33:24Z,,,0.0,226.0,0.0,,,
2025-12-12T09:34:30Z,-675.0,,,,,,,
2025-12-12T09:34:06Z,,,0.0,233.0,0.0,,,
2025-12-12T09:34:43Z,,,0.0,234.0,0.0,,,
2025-12-12T09:34:36Z,-606.0,,,,,,,
2025-12-12T09:34:56Z,,2937.0,,,,,,
2025-12-12T09:34:06Z,,,0.0,233.0,0.0,,,
2025-12-12T09:34:43Z,,,0.0,234.0,0.0,,,
2025-12-12T09:34:55Z,-1198.0,,,,,,,
2025-12-12T09:34:58Z,,2598.0,,,,,,
2025-12-12T09:34:57Z,-891.0,,,,,,,
2025-12-12T09:35:00Z,-946.0,,,,,,,
2025-12-12T09:08:50Z,,,0.0,221.0,0.0,,,
2025-12-12T09:34:57Z,,,64.0,220.0,0.4609,,,
2025-12-12T09:35:04Z,1836.0,,,,,,,
2025-12-12T09:35:03Z,,2765.0,,,,,,
2025-12-12T09:34:30Z,,,1.0,228.0,0.0,,,
2025-12-12T09:33:24Z,,,0.0,226.0,0.0,,,
2025-12-12T09:35:04Z,-819.0,,,,,,,
2025-12-12T09:35:05Z,-1049.0,,,,,,,
2025-12-12T09:35:07Z,-859.0,,,,,,,
2025-12-12T09:35:08Z,,2603.0,,,,,,
2025-12-12T09:35:12Z,,2715.0,,,,,,
2025-12-12T09:35:09Z,-901.0,,,,,,,
2025-12-12T09:35:13Z,,2648.0,,,,,,
2025-12-12T09:35:14Z,-1289.0,,,,,,,
2025-12-12T09:35:20Z,2138.0,,,,,,,
2025-12-12T09:35:14Z,,2719.0,,,,,,
2025-12-12T09:35:17Z,,3016.0,,,,,,
2025-12-12T09:35:23Z,2024.0,,,,,,,
2025-12-12T09:08:50Z,,,0.0,221.0,0.0,,,
2025-12-12T09:35:12Z,,,56.0,222.0,0.483,,,
2025-12-12T09:34:30Z,,,1.0,228.0,0.0,,,
2025-12-12T09:33:24Z,,,0.0,226.0,0.0,,,
2025-12-12T09:35:05Z,-559.0,,,,,,,
2025-12-12T09:35:07Z,-660.0,,,,,,,
2025-12-12T09:35:08Z,-504.0,,,,,,,
2025-12-12T09:34:06Z,,,0.0,233.0,0.0,,,
2025-12-12T09:34:43Z,,,0.0,234.0,0.0,,,
2025-12-12T09:35:33Z,2245.0,,,,,,,
2025-12-12T09:35:29Z,-1112.0,,,,,,,
2025-12-12T09:35:34Z,2072.0,,,,,,,
2025-12-12T09:35:30Z,-1349.0,,,,,,,
2025-12-12T09:35:33Z,,573.0,,,,,,
2025-12-12T09:35:36Z,,658.0,,,,,,
2025-12-12T09:08:50Z,,,0.0,221.0,0.0,,,
2025-12-12T09:35:22Z,,,52.0,224.0,0.4617,,,
2025-12-12T09:34:30Z,,,1.0,228.0,0.0,,,
2025-12-12T09:33:24Z,,,0.0,226.0,0.0,,,
2025-12-12T09:35:42Z,2126.0,,,,,,,
2025-12-12T09:34:30Z,,,1.0,228.0,0.0,,,
2025-12-12T09:33:24Z,,,0.0,226.0,0.0,,,
2025-12-12T09:35:45Z,,2975.0,,,,,,
2025-12-12T09:35:52Z,1971.0,,,,,,,
2025-12-12T09:08:50Z,,,0.0,221.0,0.0,,,
2025-12-12T09:35:47Z,,,55.0,220.0,0.5088,,,
2025-12-12T09:35:47Z,-1038.0,,,,,,,
2025-12-12T09:35:50Z,,2641.0,,,,,,
2025-12-12T09:34:30Z,,,1.0,228.0,0.0,,,
2025-12-12T09:33:24Z,,,0.0,226.0,0.0,,,
2025-12-12T09:35:50Z,-800.0,,,,,,,
2025-12-12T09:35:52Z,,2374.0,,,,,,
2025-12-12T09:08:50Z,,,0.0,221.0,0.0,,,
2025-12-12T09:35:52Z,,,53.0,218.0,0.4581,,,
2025-12-12T09:35:54Z,-393.0,,,,,,,
2025-12-12T09:35:57Z,,2509.0,,,,,,
2025-12-12T09:35:55Z,-716.0,,,,,,,
2025-12-12T09:35:57Z,-908.0,,,,,,,
2025-12-12T09:35:59Z,-876.0,,,,,,,
2025-12-12T09:36:03Z,,2333.0,,,,,,
2025-12-12T09:08:50Z,,,0.0,221.0,0.0,,,
