,balancing_0_loss_load,balancing_0_loss_load_energy,balancing_0_overgeneration,balancing_0_overgeneration_energy,balancing_0_reward,battery_0_charge_amount,battery_0_current_charge,battery_0_discharge_amount,battery_0_reward,battery_0_soc,grid_0_co2_per_kwh_current,grid_0_co2_production,grid_0_export_price_current,grid_0_grid_export,grid_0_grid_import,grid_0_grid_status_current,grid_0_import_price_current,grid_0_reward,load_0_load_current,load_0_load_met,load_0_reward,pv_0_curtailment,pv_0_renewable_current,pv_0_renewable_used,pv_0_reward,balance_0_reward,balance_0_shaped_reward,balance_0_overall_provided_to_microgrid,balance_0_overall_absorbed_from_microgrid,balance_0_flex_provided_to_microgrid,balance_0_flex_absorbed_from_microgrid,balance_0_controllable_provided_to_microgrid,balance_0_controllable_absorbed_from_microgrid,balance_0_fixed_provided_to_microgrid,balance_0_fixed_absorbed_from_microgrid
0,0.0,0.0,0.0,0.0,-0.0,0.0,20.0,1.445,-0.0,0.390625,0.0,0.0,0.08,0.0,0.0,1.0,0.2,-0.0,-1.445,1.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.445,1.445,0.0,0.0,1.445,0.0,0.0,1.445
1,0.0,0.0,0.0,0.0,-0.0,0.0,18.555,1.631,-0.0,0.36240234374999997,0.0,0.0,0.08,0.0,0.0,1.0,0.2,-0.0,-1.631,1.631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.631,1.631,0.0,0.0,1.631,0.0,0.0,1.631
2,0.0,0.0,0.0,0.0,-0.0,0.0,16.534341270145273,1.408,-0.0,0.3229363529325248,0.0,0.0,0.08,0.0,0.0,1.0,0.2,-0.0,-1.408,1.408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.408,1.408,0.0,0.0,1.408,0.0,0.0,1.408
3,0.0,0.0,0.0,0.0,-0.0,0.0,14.611975408464948,1.693,-0.0,0.285390144696581,0.0,0.0,0.08,0.0,0.0,1.0,0.2,-0.0,-1.693,1.693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.693,1.693,0.0,0.0,1.693,0.0,0.0,1.693
4,0.0,0.0,0.0,0.0,-0.0,0.0,12.342130023036072,1.089,-0.0,0.24105722701242327,0.0,0.0,0.08,0.0,0.0,1.0,0.2,-0.0,-1.089,1.089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.089,1.089,0.0,0.0,1.089,0.0,0.0,1.089
5,0.0,0.0,0.0,0.0,-0.0,0.0,10.795802033698497,1.245,-0.0,0.21085550847067375,0.0,0.0,0.08,0.0,0.0,1.0,0.2,-0.0,-1.245,1.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.245,1.245,0.0,0.0,1.245,0.0,0.0,1.245
6,0.0,0.0,0.0,0.0,-0.0,0.0,9.252427181840126,1.174,-0.0,0.18071146839531496,0.0,0.0,0.08,0.0,0.0,1.0,0.2,-0.0,-1.174,1.174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.174,1.174,0.0,0.0,1.174,0.0,0.0,1.174
7,0.0,0.0,0.0,0.0,-0.0,0.0,7.798166320776635,0.908,-0.0,0.15230793595266864,0.0,0.0,0.08,0.0,0.0,1.0,0.2,-0.0,-0.908,0.908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.908,0.908,0.0,0.0,0.908,0.0,0.0,0.908
8,0.0,0.0,0.0,0.0,-0.0,0.0,6.688454338245759,1.376,-0.0,0.13063387379386246,0.0,0.0,0.08,0.0,0.0,1.0,0.2,-0.0,-1.376,1.376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.376,1.376,0.0,0.0,1.376,0.0,0.0,1.376
9,0.0,0.0,0.0,0.0,-0.0,0.0,5.087081209701797,0.75,-0.0,0.09935705487698822,0.0,0.0,0.08,0.0,0.0,1.0,0.2,-0.0,-0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.75,0.0,0.0,0.75
