timestamp,InstantProdPower,InstantPower,ElectricPower,PhaseVoltage,LineCurrent
2025-12-12T09:04:22Z,898.0,,,,
2025-12-12T09:04:17Z,,-445.0,,,
2025-12-12T09:04:25Z,837.0,,,,
2025-12-12T09:04:23Z,,-641.0,,,
2025-12-12T09:04:32Z,786.0,,,,
2025-12-12T09:04:27Z,,-493.0,,,
2025-12-12T09:04:36Z,1134.0,,,,
2025-12-12T09:04:29Z,,-847.0,,,
2025-12-12T09:04:37Z,1218.0,,,,
2025-12-12T09:04:34Z,,-932.0,,,
2025-12-12T09:04:43Z,966.0,,,,
2025-12-12T09:04:35Z,,-662.0,,,
2025-12-12T09:04:47Z,1218.0,,,,
2025-12-12T09:04:37Z,,-650.0,,,
2025-12-12T09:04:49Z,1139.0,,,,
2025-12-12T09:05:00Z,,-855.0,,,
2025-12-12T09:05:08Z,1237.0,,,,
2025-12-12T09:05:16Z,,-1037.0,,,
2025-12-12T09:05:24Z,1302.0,,,,
2025-12-12T09:05:18Z,,-648.0,,,
2025-12-12T09:05:26Z,,-615.0,,,
2025-12-12T09:05:28Z,,-697.0,,,
2025-12-12T09:05:36Z,1208.0,,,,
2025-12-12T09:05:31Z,,-620.0,,,
2025-12-12T09:05:33Z,,-323.0,,,
2025-12-12T09:05:41Z,1094.0,,,,
2025-12-12T09:05:36Z,,-308.0,,,
2025-12-12T09:05:45Z,1225.0,,,,
2025-12-12T09:05:39Z,,-666.0,,,
2025-12-12T09:05:41Z,,-654.0,,,
2025-12-12T09:05:56Z,,-46.0,,,
2025-12-12T09:05:43Z,,-600.0,,,
2025-12-12T09:05:20Z,,,1.0,226.0,0.0
2025-12-12T09:05:33Z,,,0.0,226.0,0.0
2025-12-12T09:05:48Z,,-645.0,,,
2025-12-12T09:05:50Z,,-331.0,,,
2025-12-12T09:05:58Z,1097.0,,,,
2025-12-12T09:05:51Z,,-278.0,,,
2025-12-12T09:06:00Z,1223.0,,,,
2025-12-12T09:06:02Z,1233.0,,,,
2025-12-12T09:05:56Z,,-331.0,,,
2025-12-12T09:05:57Z,,-258.0,,,
2025-12-12T09:06:01Z,,-310.0,,,
2025-12-12T09:06:12Z,1071.0,,,,
2025-12-12T09:06:20Z,,62.0,,,
2025-12-12T09:06:07Z,,105.0,,,
2025-12-12T09:06:16Z,619.0,,,,
2025-12-12T09:05:20Z,,,1.0,226.0,0.0
2025-12-12T09:05:33Z,,,0.0,226.0,0.0
2025-12-12T09:06:19Z,618.0,,,,
2025-12-12T09:06:13Z,,-24.0,,,
2025-12-12T09:06:21Z,857.0,,,,
2025-12-12T09:06:25Z,948.0,,,,
2025-12-12T09:06:39Z,,309.0,,,
2025-12-12T09:06:26Z,,3.0,,,
2025-12-12T09:06:34Z,793.0,,,,
2025-12-12T09:05:20Z,,,1.0,226.0,0.0
2025-12-12T09:05:33Z,,,0.0,226.0,0.0
2025-12-12T09:06:28Z,,-234.0,,,
2025-12-12T09:06:44Z,,259.0,,,
2025-12-12T09:06:31Z,,-309.0,,,
2025-12-12T09:05:20Z,,,1.0,226.0,0.0
2025-12-12T09:05:33Z,,,0.0,226.0,0.0
2025-12-12T09:06:41Z,842.0,,,,
2025-12-12T09:06:42Z,840.0,,,,
2025-12-12T09:06:37Z,,-283.0,,,
2025-12-12T09:06:45Z,1111.0,,,,
2025-12-12T09:06:39Z,,-643.0,,,
2025-12-12T09:06:48Z,1514.0,,,,
2025-12-12T09:06:42Z,,-623.0,,,
2025-12-12T09:06:50Z,1484.0,,,,
2025-12-12T09:06:45Z,,-419.0,,,
2025-12-12T09:06:53Z,1236.0,,,,
2025-12-12T09:06:50Z,,-220.0,,,
2025-12-12T09:06:59Z,1291.0,,,,
2025-12-12T09:07:00Z,1228.0,,,,
2025-12-12T09:06:54Z,,-299.0,,,
2025-12-12T09:06:57Z,,299.0,,,
2025-12-12T09:07:06Z,1036.0,,,,
2025-12-12T09:07:01Z,,98.0,,,
2025-12-12T09:07:14Z,1112.0,,,,
2025-12-12T09:07:26Z,1249.0,,,,
2025-12-12T09:07:27Z,1180.0,,,,
2025-12-12T09:07:36Z,2644.0,,,,
2025-12-12T09:05:46Z,,,0.0,223.0,0.0
2025-12-12T09:07:36Z,,,52.0,220.0,0.4478
2025-12-12T09:07:31Z,,333.0,,,
2025-12-12T09:07:41Z,959.0,,,,
2025-12-12T09:07:38Z,,616.0,,,
2025-12-12T09:07:53Z,2704.0,,,,
2025-12-12T09:07:58Z,,0.0,,,
2025-12-12T09:07:54Z,2691.0,,,,
2025-12-12T09:07:57Z,2787.0,,,,
2025-12-12T09:07:48Z,,565.0,,,
2025-12-12T09:07:18Z,,,1.0,226.0,0.0
2025-12-12T09:07:31Z,,,0.0,226.0,0.0
2025-12-12T09:07:57Z,842.0,,,,
2025-12-12T09:05:46Z,,,0.0,223.0,0.0
2025-12-12T09:07:56Z,,,53.0,219.0,0.5069
2025-12-12T09:07:52Z,,279.0,,,
2025-12-12T09:08:00Z,1037.0,,,,
2025-12-12T09:07:53Z,,489.0,,,
2025-12-12T09:07:57Z,,624.0,,,
2025-12-12T09:08:08Z,,-1500.0,,,
2025-12-12T09:08:09Z,,-1493.0,,,
2025-12-12T09:08:01Z,,574.0,,,
2025-12-12T09:05:46Z,,,0.0,223.0,0.0
2025-12-12T09:08:11Z,,,58.0,222.0,0.4597
2025-12-12T09:08:04Z,,629.0,,,
2025-12-12T09:08:13Z,623.0,,,,
2025-12-12T09:08:15Z,599.0,,,,
2025-12-12T09:08:09Z,,515.0,,,
2025-12-12T09:08:17Z,865.0,,,,
2025-12-12T09:08:11Z,,295.0,,,
2025-12-12T09:08:21Z,1234.0,,,,
2025-12-12T09:08:22Z,1061.0,,,,
2025-12-12T09:08:18Z,,358.0,,,
2025-12-12T09:08:20Z,,108.0,,,
2025-12-12T09:08:28Z,1276.0,,,,
2025-12-12T09:08:31Z,1107.0,,,,
2025-12-12T09:08:24Z,,320.0,,,
2025-12-12T09:08:42Z,,-12.0,,,
2025-12-12T09:08:28Z,,158.0,,,
2025-12-12T09:08:37Z,1115.0,,,,
2025-12-12T09:07:18Z,,,1.0,226.0,0.0
2025-12-12T09:07:31Z,,,0.0,226.0,0.0
2025-12-12T09:08:40Z,1117.0,,,,
2025-12-12T09:08:33Z,,-697.0,,,
2025-12-12T09:08:42Z,1091.0,,,,
2025-12-12T09:08:35Z,,-883.0,,,
2025-12-12T09:08:36Z,,-970.0,,,
2025-12-12T09:08:49Z,1211.0,,,,
2025-12-12T09:08:56Z,,54.0,,,
2025-12-12T09:07:18Z,,,1.0,226.0,0.0
2025-12-12T09:07:31Z,,,0.0,226.0,0.0
2025-12-12T09:09:06Z,1202.0,,,,
2025-12-12T09:09:07Z,1227.0,,,,
2025-12-12T09:09:00Z,,-736.0,,,
2025-12-12T09:09:09Z,973.0,,,,
2025-12-12T09:09:15Z,892.0,,,,
2025-12-12T09:09:10Z,,-658.0,,,
2025-12-12T09:09:18Z,1068.0,,,,
2025-12-12T09:09:20Z,1132.0,,,,
2025-12-12T09:09:13Z,,-651.0,,,
2025-12-12T09:09:17Z,,-551.0,,,
2025-12-12T09:09:25Z,992.0,,,,
2025-12-12T09:09:22Z,,-706.0,,,
2025-12-12T09:09:30Z,1070.0,,,,
2025-12-12T09:09:38Z,,-41.0,,,
2025-12-12T09:09:25Z,,-618.0,,,
2025-12-12T09:09:34Z,1285.0,,,,
2025-12-12T09:09:26Z,,-833.0,,,
2025-12-12T09:09:12Z,,,1.0,228.0,0.0
2025-12-12T09:09:25Z,,,0.0,226.0,0.0
2025-12-12T09:09:40Z,1503.0,,,,
2025-12-12T09:09:43Z,,-1501.0,,,
2025-12-12T09:09:46Z,,-1488.0,,,
2025-12-12T09:08:50Z,,,0.0,221.0,0.0
2025-12-12T09:09:46Z,,,54.0,220.0,0.4548
2025-12-12T09:09:48Z,1442.0,,,,
2025-12-12T09:09:50Z,,-1494.0,,,
2025-12-12T09:09:51Z,1243.0,,,,
2025-12-12T09:09:51Z,,-1501.0,,,
2025-12-12T09:09:52Z,1068.0,,,,
2025-12-12T09:09:43Z,,-844.0,,,
2025-12-12T09:09:53Z,,-1498.0,,,
2025-12-12T09:09:44Z,,-724.0,,,
2025-12-12T09:09:55Z,,-1502.0,,,
2025-12-12T09:09:56Z,,-1497.0,,,
2025-12-12T09:09:49Z,,-307.0,,,
2025-12-12T09:09:57Z,,-1504.0,,,
2025-12-12T09:09:59Z,,-1496.0,,,
2025-12-12T09:10:00Z,,-1503.0,,,
2025-12-12T09:10:04Z,616.0,,,,
2025-12-12T09:10:01Z,,-1497.0,,,
2025-12-12T09:10:02Z,,-1506.0,,,
2025-12-12T09:10:09Z,,-1494.0,,,
2025-12-12T09:10:08Z,623.0,,,,
2025-12-12T09:10:10Z,,-1518.0,,,
2025-12-12T09:10:02Z,,-318.0,,,
2025-12-12T09:10:11Z,778.0,,,,
2025-12-12T09:10:12Z,968.0,,,,
2025-12-12T09:08:50Z,,,0.0,221.0,0.0
2025-12-12T09:10:10Z,,,56.0,220.0,0.4685
2025-12-12T09:10:05Z,,-773.0,,,
